ID,name,country,type
1,Florian Mueller,Deutschland,1
33,Fabian Bredlow,Deutschland,1
42,Florian Schock,Deutschland,1
5,Konstantinos Mavropanos,Griechenland,1
2,Waldemar Anton,Deutschland,1
37,Hiroki Ito,Japan,1
24,Borna Sosa,Kroatien,1
15,Pascal Stenzel,Deutschland,1
23,Orel Mangala,Belgien,1
3,Wataru Endo,Japan,1
16,Atakan Karazor,Deutschland,1
32,Naouirou Ahamada,Frankreich,1
6,Clinton Mola,England,1
8,Enzo Millot,Frankreich,1
28,Nikolas Nartey,Daenemark,1
14,Silas Katompa Mvumpa,DR Kongo,1
30,Roberto Massimo,Deutschland,1
11,Erik Thommy,Deutschland,1
20,Philipp Foerster,Deutschland,1
31,Mateo Klimowicz,Deutschland,1
25,Lilian Egloff,Deutschland,1
34,Oemer Beyaz,Tuerkei,1
10,Daniel Didavi,Deutschland,1
7,Tanguy Coulibaly,Frankreich,1
22,Chris Fuehrich,Deutschland,1
9,Sasa Kalajdzic,Oesterreich,1
18,Tiago Tomas,Portugal,1
17,Omar Marmoush,Aegypten,1
19,Wahid Faghir,Daenemark,1
50,Alexis Tibidi,Frankreich,1
44,Mohamed Sankoh,Niederlande,1
Mainz,Mainz 05,Deutschland,2
Hannover,Hannover 96,Deutschland,2
Truiden,VV St Truiden,Belgien,2
Arsenal,FC Arsenal ,England,2
Chelsea,FC Chelsea,England,2
Paris,Paris Saint Germain,Frankreich,2
Monaco,AS Monaco FC,Frankreich,2
Moedling,FC Admira Wacker Moedling,Oesterreich,2
Wolfsburg,VfL Wolfsburg,Deutschland,2
Augsburg,FC Augsburg,Deutschland,2
Parisfc,Paris FC,Frankreich,2
Freiburg,SC Freiburg,Deutschland,2
Kiel,Holstein Kiel,Deutschland,2
Lissabon,Sporting Lissabon,Portugal,2
Boldklub,Vejle Boldklub,Daenemark,2
Sandhausen,SV Sandhausen,Deutschland,2
Paderborn,SC Paderborn 07,Deutschland,2
Anderlecht,RSC Anderlecht,Belgien,2
Zagreb,Dinamo Zagreb,Kroatien,2
Vfb,VfB Stuttgart,Deutschland,2
Koeln,FC Koeln,Deutschland,2
Bielefeld,Arminia Bielefeld,Deutschland,2
Cordoba,Instituto AC Cordoba,Argentinien,2
Turin,Juventus Turin,Italien,2
Nuernberg,FC Nuernberg,Deutschland,2
Istanbul,Fenerbahce Instanbul,Tuerkei,2
Iwata,Jubilo Iwata,Japan,2
Deutschland,,,
Japan,,,
Griechenland,,,
England,,,
Frankreich,,,
Oesterreich,,,
DRKongo,,,
Aegypten,,,
Portugal,,,
Daenemark,,,
Belgien,,,
Kroatien,,,
Tuerkei,,,
Niederlande,,,
